74.03,KABUPATEN MUNA
74.04,KABUPATEN BUTON
74.05,KABUPATEN KONAWE SELATAN
74.06,KABUPATEN BOMBANA
74.07,KABUPATEN WAKATOBI
74.08,KABUPATEN KOLAKA UTARA
74.09,KABUPATEN KONAWE UTARA
74.10,KABUPATEN BUTON UTARA
74.11,KABUPATEN KOLAKA TIMUR
74.12,KABUPATEN KONAWE KEPULAUAN
74.13,KABUPATEN MUNA BARAT
74.14,KABUPATEN BUTON TENGAH
74.15,KABUPATEN BUTON SELATAN
74.71,KOTA KENDARI
74.72,KOTA BAU BAU
75.01,KABUPATEN GORONTALO
75.02,KABUPATEN BOALEMO
75.03,KABUPATEN BONE BOLANGO
75.04,KABUPATEN PAHUWATO
75.05,KABUPATEN GORONTALO UTARA
75.71,KOTA GORONTALO
76.01,KABUPATEN PASANGKAYU
76.02,KABUPATEN MAMUJU
76.03,KABUPATEN MAMASA
76.04,KABUPATEN POLEWALI MANDAR
76.05,KABUPATEN MAJENE
76.06,KABUPATEN MAMUJU TENGAH
81.01,KABUPATEN MALUKU TENGAH
81.02,KABUPATEN MALUKU TENGGARA
81.03,KABUPATEN KEPULAUAN TANIMBAR
81.04,KABUPATEN BURU
81.05,KABUPATEN SERAM BAGIAN TIMUR
81.06,KABUPATEN SERAM BAGIAN BARAT
81.07,KABUPATEN KEPULAUAN ARU
81.08,KABUPATEN MALUKU BARAT DAYA
81.09,KABUPATEN BURU SELATAN
81.71,KOTA AMBON
81.72,KOTA TUAL
82.01,KABUPATEN HALMAHERA BARAT
82.02,KABUPATEN HALMAHERA TENGAH
82.03,KABUPATEN HALMAHERA UTARA
82.04,KABUPATEN HALMAHERA SELATAN
82.05,KABUPATEN KEPULAUAN SULA
82.06,KABUPATEN HALMAHERA TIMUR
82.07,KABUPATEN PULAU MOROTAI
82.08,KABUPATEN PULAU TALIABU
82.71,KOTA TERNATE
82.72,KOTA TIDORE KEPULAUAN
91.01,KABUPATEN MERAUKE
91.02,KABUPATEN JAYAWIJAYA
91.03,KABUPATEN JAYAPURA
91.04,KABUPATEN NABIRE
91.05,KABUPATEN KEPULAUAN YAPEN
91.06,KABUPATEN BIAK NUMFOR
91.07,KABUPATEN PUNCAK JAYA
91.08,KABUPATEN PANIAI
91.09,KABUPATEN MIMIKA
91.10,KABUPATEN SARMI
91.11,KABUPATEN KEEROM
91.12,KAB PEGUNUNGAN BINTANG
91.13,KABUPATEN YAHUKIMO
91.14,KABUPATEN TOLIKARA
91.15,KABUPATEN WAROPEN
91.16,KABUPATEN BOVEN DIGOEL
91.17,KABUPATEN MAPPI
91.18,KABUPATEN ASMAT
91.19,KABUPATEN SUPIORI
91.20,KABUPATEN MAMBERAMO RAYA
91.21,KABUPATEN MAMBERAMO TENGAH
91.22,KABUPATEN YALIMO
91.23,KABUPATEN LANNY JAYA
91.24,KABUPATEN NDUGA
91.25,KABUPATEN PUNCAK
91.26,KABUPATEN DOGIYAI
91.27,KABUPATEN INTAN JAYA
91.28,KABUPATEN DEIYAI
91.71,KOTA JAYAPURA
92.01,KABUPATEN SORONG
92.02,KABUPATEN MANOKWARI
92.03,KABUPATEN FAK FAK
92.04,KABUPATEN SORONG SELATAN
92.05,KABUPATEN RAJA AMPAT
92.06,KABUPATEN TELUK BINTUNI
92.07,KABUPATEN TELUK WONDAMA
92.08,KABUPATEN KAIMANA
92.09,KABUPATEN TAMBRAUW
92.10,KABUPATEN MAYBRAT
92.11,KABUPATEN MANOKWARI SELATAN
92.12,KABUPATEN PEGUNUNGAN ARFAK
92.71,KOTA SORONG
